2020-05-30 05:34:47 status installed libargon2-1:amd64 0~20171227-0.2
2020-05-30 05:34:47 configure libmagic1:amd64 1:5.35-4+deb10u1 <none>
2020-05-30 05:34:47 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:47 status half-configured libmagic1:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:47 status installed libmagic1:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:47 configure nginx-common:all 1.14.2-2+deb10u1 <none>
2020-05-30 05:34:47 status unpacked nginx-common:all 1.14.2-2+deb10u1
2020-05-30 05:34:47 status half-configured nginx-common:all 1.14.2-2+deb10u1
2020-05-30 05:34:48 status installed nginx-common:all 1.14.2-2+deb10u1
2020-05-30 05:34:48 configure file:amd64 1:5.35-4+deb10u1 <none>
2020-05-30 05:34:48 status unpacked file:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:48 status half-configured file:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:48 status installed file:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:48 configure bzip2:amd64 1.0.6-9.2~deb10u1 <none>
2020-05-30 05:34:48 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2020-05-30 05:34:48 status half-configured bzip2:amd64 1.0.6-9.2~deb10u1
2020-05-30 05:34:48 status installed bzip2:amd64 1.0.6-9.2~deb10u1
2020-05-30 05:34:48 configure libjbig0:amd64 2.1-3.1+b2 <none>
2020-05-30 05:34:48 status unpacked libjbig0:amd64 2.1-3.1+b2
2020-05-30 05:34:48 status half-configured libjbig0:amd64 2.1-3.1+b2
2020-05-30 05:34:48 status installed libjbig0:amd64 2.1-3.1+b2
2020-05-30 05:34:48 configure libicu63:amd64 63.1-6+deb10u1 <none>
2020-05-30 05:34:48 status unpacked libicu63:amd64 63.1-6+deb10u1
2020-05-30 05:34:48 status half-configured libicu63:amd64 63.1-6+deb10u1
2020-05-30 05:34:48 status installed libicu63:amd64 63.1-6+deb10u1
2020-05-30 05:34:48 configure libjpeg62-turbo:amd64 1:1.5.2-2+b1 <none>
2020-05-30 05:34:48 status unpacked libjpeg62-turbo:amd64 1:1.5.2-2+b1
2020-05-30 05:34:48 status half-configured libjpeg62-turbo:amd64 1:1.5.2-2+b1
2020-05-30 05:34:48 status installed libjpeg62-turbo:amd64 1:1.5.2-2+b1
2020-05-30 05:34:48 configure libnginx-mod-http-auth-pam:amd64 1.14.2-2+deb10u1 <none>
2020-05-30 05:34:48 status unpacked libnginx-mod-http-auth-pam:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status half-configured libnginx-mod-http-auth-pam:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status installed libnginx-mod-http-auth-pam:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 configure libx11-data:all 2:1.6.7-1 <none>
2020-05-30 05:34:48 status unpacked libx11-data:all 2:1.6.7-1
2020-05-30 05:34:48 status half-configured libx11-data:all 2:1.6.7-1
2020-05-30 05:34:48 status installed libx11-data:all 2:1.6.7-1
2020-05-30 05:34:48 configure libncurses6:amd64 6.1+20181013-2+deb10u2 <none>
2020-05-30 05:34:48 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2020-05-30 05:34:48 status half-configured libncurses6:amd64 6.1+20181013-2+deb10u2
2020-05-30 05:34:48 status installed libncurses6:amd64 6.1+20181013-2+deb10u2
2020-05-30 05:34:48 configure xz-utils:amd64 5.2.4-1 <none>
2020-05-30 05:34:48 status unpacked xz-utils:amd64 5.2.4-1
2020-05-30 05:34:48 status half-configured xz-utils:amd64 5.2.4-1
2020-05-30 05:34:48 status installed xz-utils:amd64 5.2.4-1
2020-05-30 05:34:48 configure libpng16-16:amd64 1.6.36-6 <none>
2020-05-30 05:34:48 status unpacked libpng16-16:amd64 1.6.36-6
2020-05-30 05:34:48 status half-configured libpng16-16:amd64 1.6.36-6
2020-05-30 05:34:48 status installed libpng16-16:amd64 1.6.36-6
2020-05-30 05:34:48 configure libwebp6:amd64 0.6.1-2 <none>
2020-05-30 05:34:48 status unpacked libwebp6:amd64 0.6.1-2
2020-05-30 05:34:48 status half-configured libwebp6:amd64 0.6.1-2
2020-05-30 05:34:48 status installed libwebp6:amd64 0.6.1-2
2020-05-30 05:34:48 configure fonts-dejavu-core:all 2.37-1 <none>
2020-05-30 05:34:48 status unpacked fonts-dejavu-core:all 2.37-1
2020-05-30 05:34:48 status half-configured fonts-dejavu-core:all 2.37-1
2020-05-30 05:34:48 status installed fonts-dejavu-core:all 2.37-1
2020-05-30 05:34:48 configure libpcre2-8-0:amd64 10.32-5 <none>
2020-05-30 05:34:48 status unpacked libpcre2-8-0:amd64 10.32-5
2020-05-30 05:34:48 status half-configured libpcre2-8-0:amd64 10.32-5
2020-05-30 05:34:48 status installed libpcre2-8-0:amd64 10.32-5
2020-05-30 05:34:48 configure libnginx-mod-http-echo:amd64 1.14.2-2+deb10u1 <none>
2020-05-30 05:34:48 status unpacked libnginx-mod-http-echo:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status half-configured libnginx-mod-http-echo:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status installed libnginx-mod-http-echo:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 configure libnginx-mod-http-subs-filter:amd64 1.14.2-2+deb10u1 <none>
2020-05-30 05:34:48 status unpacked libnginx-mod-http-subs-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status half-configured libnginx-mod-http-subs-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status installed libnginx-mod-http-subs-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 configure sensible-utils:all 0.0.12 <none>
2020-05-30 05:34:48 status unpacked sensible-utils:all 0.0.12
2020-05-30 05:34:48 status half-configured sensible-utils:all 0.0.12
2020-05-30 05:34:48 status installed sensible-utils:all 0.0.12
2020-05-30 05:34:48 configure libgeoip1:amd64 1.6.12-1 <none>
2020-05-30 05:34:48 status unpacked libgeoip1:amd64 1.6.12-1
2020-05-30 05:34:48 status half-configured libgeoip1:amd64 1.6.12-1
2020-05-30 05:34:48 status installed libgeoip1:amd64 1.6.12-1
2020-05-30 05:34:48 configure libtiff5:amd64 4.1.0+git191117-2~deb10u1 <none>
2020-05-30 05:34:48 status unpacked libtiff5:amd64 4.1.0+git191117-2~deb10u1
2020-05-30 05:34:48 status half-configured libtiff5:amd64 4.1.0+git191117-2~deb10u1
2020-05-30 05:34:48 status installed libtiff5:amd64 4.1.0+git191117-2~deb10u1
2020-05-30 05:34:48 configure geoip-database:all 20181108-1 <none>
2020-05-30 05:34:48 status unpacked geoip-database:all 20181108-1
2020-05-30 05:34:48 status half-configured geoip-database:all 20181108-1
2020-05-30 05:34:48 status installed geoip-database:all 20181108-1
2020-05-30 05:34:48 configure libbsd0:amd64 0.9.1-2 <none>
2020-05-30 05:34:48 status unpacked libbsd0:amd64 0.9.1-2
2020-05-30 05:34:48 status half-configured libbsd0:amd64 0.9.1-2
2020-05-30 05:34:48 status installed libbsd0:amd64 0.9.1-2
2020-05-30 05:34:48 configure libxml2:amd64 2.9.4+dfsg1-7+b3 <none>
2020-05-30 05:34:48 status unpacked libxml2:amd64 2.9.4+dfsg1-7+b3
2020-05-30 05:34:48 status half-configured libxml2:amd64 2.9.4+dfsg1-7+b3
2020-05-30 05:34:48 status installed libxml2:amd64 2.9.4+dfsg1-7+b3
2020-05-30 05:34:48 configure php-common:all 2:69 <none>
2020-05-30 05:34:48 status unpacked php-common:all 2:69
2020-05-30 05:34:48 status half-configured php-common:all 2:69
2020-05-30 05:34:48 status installed php-common:all 2:69
2020-05-30 05:34:48 configure libnginx-mod-mail:amd64 1.14.2-2+deb10u1 <none>
2020-05-30 05:34:48 status unpacked libnginx-mod-mail:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status half-configured libnginx-mod-mail:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status installed libnginx-mod-mail:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 configure libxdmcp6:amd64 1:1.1.2-3 <none>
2020-05-30 05:34:48 status unpacked libxdmcp6:amd64 1:1.1.2-3
2020-05-30 05:34:48 status half-configured libxdmcp6:amd64 1:1.1.2-3
2020-05-30 05:34:48 status installed libxdmcp6:amd64 1:1.1.2-3
2020-05-30 05:34:48 configure libxcb1:amd64 1.13.1-2 <none>
